MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
63.926865,138.16922,100.23352,13.088177,,
68.87818,162.0545,116.381874,15.809885,,
59.05464,157.54929,108.13047,17.256153,,
1.0557888,98.24945,47.284332,14.885379,,
10.244643,166.28226,92.27264,24.830982,,
5.171151,86.46522,45.051052,13.16618,,
2.0424004,83.07523,38.683945,14.24246,,
5.967208,91.733215,42.69185,15.6384,,
5.2294226,97.93883,46.175682,16.112356,,
23.997166,94.75389,59.72723,13.295859,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
0.5549501,76.08525,35.334595,14.547117,,
39.675175,273.25598,154.21443,50.06422,,
24.208244,245.03035,135.48639,47.530758,,
24.208244,245.03035,135.48639,47.530758,,
0.500937,192.57404,80.95213,43.11478,,
0.500937,192.57404,80.95213,43.11478,,
1.742752,172.36392,70.75073,34.107002,,
10.132497,175.95563,86.95991,44.130653,,
25.473091,166.95407,93.7995,31.308619,,
25.473091,166.95407,93.7995,31.308619,,
0.9154521,167.55316,86.15806,39.483635,,
0.9154521,167.55316,86.15806,39.483635,,
6.162431,221.39534,110.84953,51.343376,,
0.7118038,105.35346,51.603535,19.009472,,
1.0163596,130.48485,66.79465,19.786537,,
9.329716,125.5345,64.552666,19.747917,,
9.329716,125.5345,64.552666,19.747917,,
187.2533,330.4626,259.91745,26.065222,,
1.276235,91.810234,35.50484,17.6516,,
1.276235,91.810234,35.50484,17.6516,,
1.276235,91.810234,35.50484,17.6516,,
1.276235,91.810234,35.50484,17.6516,,
9.649854,87.322586,44.16428,14.25636,,
2.0858414,161.4109,69.44062,26.67747,,
93.367584,208.34047,145.46866,19.44748,,
56.00019,144.63846,106.468315,13.591816,,
0.7186898,56.646057,19.768803,9.230097,,
7.2342806,78.32861,50.181263,11.245697,,
43.487133,111.51659,75.411644,11.9724455,,
25.64518,251.5508,138.98004,50.164654,,
19.720428,87.56998,50.380615,11.428385,,
14.167366,141.98763,75.76536,23.928585,,
1.0421835,42.845474,16.665037,7.0404286,,
78.60667,256.556,167.85155,35.13603,,
35.784477,86.04439,60.276062,9.115143,,
0.4911996,82.324585,22.255566,14.1048355,,
30.968271,127.66216,81.64501,18.173475,,
1.4637792,46.347637,23.537746,8.33181,,
7.5990195,80.1392,44.627758,12.281327,,
26.881214,104.74417,64.10901,11.001348,,
15.389564,88.60563,56.86795,10.60002,,
11.401681,111.627525,60.467255,18.142242,,
70.88692,260.18365,168.35072,35.637794,,
81.961395,259.48932,170.85474,35.96989,,
40.23642,246.87619,150.86003,36.51258,,
29.371996,160.54567,94.61551,25.94083,,
15.413911,119.07153,68.5345,21.788202,,
169.84369,211.77582,188.3937,9.051358,,
1.0173075,93.25408,42.7915,17.245733,,
1.0173075,93.25408,42.7915,17.245733,,
41.771416,106.68004,65.44727,13.799488,,
286.44046,455.33722,363.095,29.501871,,
6.9199014,106.45636,48.574837,22.653664,,
233.17572,378.1323,294.09708,27.224123,,
267.6213,378.4406,315.5007,19.818476,,
44.800888,172.83395,109.22529,20.082514,,
1.3889616,113.48818,46.682365,20.328623,,
14.463104,123.67575,65.39096,25.421343,,
37.7919,135.08849,88.33319,25.669096,,
58.526615,196.80289,131.5089,21.891687,,
54.06871,100.45344,78.40332,9.404499,,
1.8815099,143.28616,72.86674,34.579865,,
38.845436,147.91313,87.43227,18.943052,,
62.904198,119.974236,90.186226,10.827328,,
26.483631,104.94996,66.40135,13.067085,,
58.062218,123.37345,87.386406,11.146595,,
3.7506862,86.69845,47.67346,18.39111,,
38.296097,219.34145,135.80183,34.372765,,
290.5415,430.48392,360.2913,28.01884,,
40.349674,137.39082,93.17318,14.707454,,
65.50986,150.33955,110.66143,12.313387,,
32.964314,122.678444,70.812836,15.513866,,
2.333315,154.99178,75.21547,26.793465,,
1.6243107,161.41643,81.572235,30.651339,,
159.78754,302.20718,233.7026,21.391916,,
245.65431,413.71173,327.2676,30.397266,,
18.911861,91.48208,52.97661,10.403223,,
3.931206,46.87625,23.522505,7.821123,,
5.1830015,83.433846,47.18426,12.267668,,
29.171333,77.233894,55.493603,9.016643,,
19.357447,71.153465,47.2426,9.496359,,
21.96083,116.13954,72.3183,16.400938,,
5.9248524,151.7229,67.48593,20.606024,,
5.9248524,151.7229,67.48593,20.606024,,
14.9816,144.55531,80.68192,21.897776,,
59.400917,182.82758,122.364265,22.618917,,
119.37106,245.36311,180.42441,19.961061,,
100.39158,197.60664,146.2474,18.19221,,
1.6136651,153.69345,71.43492,27.220394,,
58.73124,142.03061,103.68223,12.808239,,
1.3996241,61.471245,31.004442,10.096194,,
37.51076,156.93861,95.31122,17.72675,,
53.35276,159.54861,109.64875,15.464368,,
1.651658,203.9747,103.765976,37.981068,,
1.3320798,119.87285,52.571472,18.940948,,
46.26133,120.00928,82.9693,12.40105,,
59.82771,160.39482,104.71798,15.89811,,
37.8779,125.15196,75.43052,16.056799,,
25.191607,88.16971,59.17027,11.596543,,
0.12698449,74.94155,32.803738,12.703609,,
0.5158512,116.31217,52.88533,24.236322,,
30.998892,136.38144,86.04354,16.236292,,
71.30452,220.35254,155.26773,26.071426,,
26.480816,136.71239,82.60266,17.49028,,
22.714731,113.99332,68.212166,15.021227,,
16.159187,109.87858,71.56353,14.387406,,
40.346878,93.32038,69.29959,10.471386,,
118.31022,333.31662,228.50456,63.75454,,
25.563717,260.77945,138.20827,87.912506,,
11.5462885,96.22644,51.802845,14.208587,,
24.357193,243.43011,118.449745,47.60396,,
7.6026034,102.72113,54.1592,19.973867,,
