Node1,Node2,MinimumDistance,MaximumDistance,AverageDistance,StdDev,Label
232,240,15.413911,119.07153,68.5345,21.788202,1
232,980,169.84369,211.77582,188.3937,9.051358,1
233,234,1.0173075,93.25408,42.7915,17.245733,1
235,236,1.0173075,93.25408,42.7915,17.245733,1
235,701,41.771416,106.68004,65.44727,13.799488,1
235,703,286.44046,455.33722,363.095,29.501871,1
235,704,6.9199014,106.45636,48.574837,22.653664,1
235,705,233.17572,378.1323,294.09708,27.224123,1
235,706,267.6213,378.4406,315.5007,19.818476,1
237,238,44.800888,172.83395,109.22529,20.082514,1
237,1183,1.3889616,113.48818,46.682365,20.328623,1
237,440,14.463104,123.67575,65.39096,25.421343,1
238,440,37.7919,135.08849,88.33319,25.669096,1
238,468,58.526615,196.80289,131.5089,21.891687,1
238,916,54.06871,100.45344,78.40332,9.404499,1
238,1202,1.8815099,143.28616,72.86674,34.579865,1
238,274,38.845436,147.91313,87.43227,18.943052,1
